segment_id,budget,budget_ratio,seed,method,event_precision,event_recall,duration_precision,duration_recall,candidate_duration,core_duration,num_unique_events_hit,audit_calls,repair_calls,discovery_calls,guard_calls,total_used_calls,budget_accounting_error,halo_duration
dataset3_2400_3462,10,0.09433962264150944,0,D3-core-chunk120,0.0,0.0,0.0,0.0,100.0,0.0,0,1,0,9,0,10,0,100.0
dataset3_2400_3462,10,0.09433962264150944,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,10,0,10,0,100.0
dataset3_2400_3462,11,0.10377358490566038,0,D3-core-chunk120,0.0,0.0,0.0,0.0,90.0,0.0,0,2,0,7,0,9,2,90.0
dataset3_2400_3462,11,0.10377358490566038,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,110.0,0.0,0,0,0,11,0,11,0,110.0
dataset3_2400_3462,20,0.18867924528301888,0,D3-core-chunk120,1.0,0.1111111111111111,0.0,0.0,160.0,20.0,1,2,0,14,3,19,1,140.0
dataset3_2400_3462,20,0.18867924528301888,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,200.0,0.0,0,0,0,20,0,20,0,200.0
dataset3_2400_3462,21,0.19811320754716982,0,D3-core-chunk120,0.0,0.0,0.0,0.0,200.0,0.0,0,3,0,18,0,21,0,200.0
dataset3_2400_3462,21,0.19811320754716982,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,210.0,0.0,0,0,0,21,0,21,0,210.0
dataset3_2400_3462,106,1.0,0,D3-core-chunk120,1.0,0.7777777777777778,0.0,0.0,760.0,90.0,7,26,2,70,7,105,1,670.0
dataset3_2400_3462,106,1.0,0,D3-norepair-core-chunk120,1.0,1.0,0.0,0.0,1032.9299999999998,120.0,9,0,0,104,2,106,0,912.9299999999998
