method,setting,budget,trial,recall,precision,invalid_rate,candidate_calls,audit_calls
candidate_only,label_K10_min15,800,15,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,15,0.1111111111111111,0.25,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,15,0.16666666666666666,0.5,0.3333333333333333,400,400
adaptive_greedy,label_K10_min15,800,15,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,16,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,16,0.2222222222222222,0.5,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,16,0.1111111111111111,0.4,0.6,400,400
adaptive_greedy,label_K10_min15,800,16,0.2777777777777778,0.45454545454545453,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,17,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,17,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,17,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,17,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,18,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,18,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,18,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,18,0.2777777777777778,0.45454545454545453,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,19,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,19,0.16666666666666666,0.42857142857142855,0.7142857142857143,640,160
fixed_mix_50_50,label_K10_min15,800,19,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,19,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,20,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,20,0.2222222222222222,0.5,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,20,0.1111111111111111,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,20,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,21,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,21,0.16666666666666666,0.375,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,21,0.1111111111111111,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,21,0.16666666666666666,0.3,0.5,775,25
candidate_only,label_K10_min15,800,22,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,22,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,22,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,22,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,23,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,23,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,23,0.1111111111111111,0.4,0.4,400,400
adaptive_greedy,label_K10_min15,800,23,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,24,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,24,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,24,0.16666666666666666,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,24,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,25,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,25,0.16666666666666666,0.375,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,25,0.16666666666666666,0.6,0.4,400,400
