workload_id,video_id,query_id,cost_tier,verify_scan_cost_ratio,deadline_level,deadline_fraction,base_seed,chunk_count,policy,normalized_anytime_event_auc,terminal_event_recall,committed_events,oracle_failures,scan_actions,verify_actions
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,,sequential,0.23667550058892844,0.4166666666666667,20,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,,uniform_stride,0.29904667255594836,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,,random_temporal,0.3252723792697294,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,,largest_gap,0.3167145170789162,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,,datb_sv,0.2721952296819788,0.5208333333333334,25,0,258,194
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,3,exsample_end_to_end_adapted,0.273538722025913,0.5,24,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,6,exsample_end_to_end_adapted,0.23461425206124847,0.5,24,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,2123151880353550199,12,exsample_end_to_end_adapted,0.19191696113074172,0.3958333333333333,19,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,,sequential,0.23667550058892844,0.4166666666666667,20,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,,uniform_stride,0.29904667255594836,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,,random_temporal,0.28684481743227325,0.5833333333333334,28,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,,largest_gap,0.3167145170789162,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,,datb_sv,0.2721952296819788,0.5208333333333334,25,0,258,194
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,3,exsample_end_to_end_adapted,0.3374190223792696,0.6666666666666666,32,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,6,exsample_end_to_end_adapted,0.22616681389870458,0.4583333333333333,22,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,12469531558194382158,12,exsample_end_to_end_adapted,0.3637919611307427,0.5416666666666666,26,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,,sequential,0.23667550058892844,0.4166666666666667,20,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,,uniform_stride,0.29904667255594836,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,,random_temporal,0.29805285630153167,0.5208333333333334,25,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,,largest_gap,0.3167145170789162,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,,datb_sv,0.2721952296819788,0.5208333333333334,25,0,258,194
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,3,exsample_end_to_end_adapted,0.33692211425206087,0.5416666666666666,26,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,6,exsample_end_to_end_adapted,0.33057273262661985,0.5416666666666666,26,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,7951618664789711144,12,exsample_end_to_end_adapted,0.30429181389870447,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,,sequential,0.23667550058892844,0.4166666666666667,20,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,,uniform_stride,0.29904667255594836,0.5625,27,0,226,226
