run_id,method,family,task_id,video_id,query_id,deadline_name,deadline_seconds,replicate,deadline_met,planned_schedule_complete,AnytimeAUC_F1,F1_at_deadline,precision,recall,unique_confirmed_events,TTFC,TTFC_censored,time_to_second_unique_event,candidate_precision_at_admission,physical_oracle_calls,redundant_VERIFY,queries_per_unique_event,false_positive_candidates_before_hit,candidate_survival_time_mean,candidate_to_VERIFY_conversion,unique_temporal_cells_in_frontier_mean,frontier_temporal_entropy_mean,positive_candidate_exposure,positive_candidate_to_VERIFY,proxy_GPU_seconds,oracle_GPU_seconds,total_GPU_seconds,scheduler_CPU_seconds,total_wall_clock,deadline_miss,cache_replay_calls,future_proxy_accesses,visibility_violations,snapshot_exists,action_ledger_valid,scan_actions,verify_opportunities,verify_rejected,scan_signature,query_signature,positive_units_scanned,unique_reference_events_touched,time_to_first_positive_unit_scan,time_to_first_positive_unit_scan_censored,temporal_coverage,max_unobserved_gap_seconds,positive_exposure_per_scan_action,positive_unit_to_candidate_conversion,positive_candidate_frontier_entry,positive_candidate_survival,positive_candidate_to_VERIFY_conversion,unique_temporal_cells_verified,negative_VERIFY_before_first_TP,first_TP_censored,reference_visibility
F0__Y8__V1_Q2__T_transition__r00__attempt_001,F0,Y8,V1_Q2,V1,Q2,T_transition,199.19407308333996,0,True,True,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,4,0,4.0,4,34.926818723,0.5,2.764705882352941,0.7058823529411765,0,0,17.025782325,58.789977603000004,75.815759928,0.019077580999999996,81.240446648,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 566, 424, 212)",0,0,,199.19407308333996,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q2__T_transition__r01__attempt_001,F0,Y8,V1_Q2,V1,Q2,T_transition,199.19407308333996,1,True,True,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,4,0,4.0,4,36.37265817475,0.5,2.764705882352941,0.7058823529411765,0,0,16.355181573000003,59.29259709,75.647778663,0.020796181000000004,84.566821956,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 566, 424, 212)",0,0,,199.19407308333996,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q2__T_transition__r02__attempt_001,F0,Y8,V1_Q2,V1,Q2,T_transition,199.19407308333996,2,True,True,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,4,0,4.0,4,35.15842082275,0.5,2.764705882352941,0.7058823529411765,0,0,16.071806615,58.706113775000006,74.77792039,0.020733063000000003,81.982366032,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 566, 424, 212)",0,0,,199.19407308333996,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
ST1__Y8__V0_Q1__T_high__r00__attempt_001,ST1,Y8,V0_Q1,V0,Q1,T_high,123.9524739725,0,True,False,0.1025243397052816,0.13333333333333333,1.0,0.07142857142857142,1,28.641382356,28.641382356,,0.2,5,0,5.0,0,32.19308996886112,0.1388888888888889,8.604651162790697,0.9534883720930233,2,1,26.957556011999998,73.292092469,100.249648481,0.044595505,121.819605842,False,0,0,0,True,True,37,23,18,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26, 37)","(173, 0, 346, 86, 259)",2,2,1.612338996,1.612338996,0.10533910533910534,110.0,0.05405405405405406,1.0,0.5,1.0,0.5,5,0,False,evaluator_only
ST1__Y8__V0_Q1__T_high__r01__attempt_001,ST1,Y8,V0_Q1,V0,Q1,T_high,123.9524739725,1,True,False,0.10112208867446666,0.13333333333333333,1.0,0.07142857142857142,1,29.944975989,29.944975989,,0.2,5,0,5.0,0,35.912941765781255,0.15625,8.461538461538462,0.9487179487179487,2,1,25.79158012,72.39011787700001,98.18169799700001,0.05418182000000001,121.452216705,False,0,0,0,True,True,33,19,14,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269)","(173, 0, 346, 86, 259)",2,2,1.645229875,1.645229875,0.09379509379509379,110.0,0.06060606060606061,1.0,0.5,1.0,0.5,5,0,False,evaluator_only
ST1__Y8__V0_Q1__T_high__r02__attempt_001,ST1,Y8,V0_Q1,V0,Q1,T_high,123.9524739725,2,True,False,0.10262978946448718,0.13333333333333333,1.0,0.07142857142857142,1,28.543351667,28.543351667,,0.2,5,0,5.0,0,33.10920176471429,0.14285714285714285,8.571428571428571,0.9523809523809523,2,1,27.146358852999995,73.126838061,100.273196914,0.047259269000000007,121.752613478,False,0,0,0,True,True,36,22,17,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26)","(173, 0, 346, 86, 259)",2,2,1.615706522,1.615706522,0.10245310245310245,110.0,0.05555555555555555,1.0,0.5,1.0,0.5,5,0,False,evaluator_only
ST1__Y8__V0_Q1__T_transition__r00__attempt_001,ST1,Y8,V0_Q1,V0,Q1,T_transition,122.2528144965554,0,True,False,0.10281896557586592,0.13333333333333333,1.0,0.07142857142857142,1,27.978505057,27.978505057,,0.2,5,0,5.0,0,32.57318134671429,0.14285714285714285,8.571428571428571,0.9523809523809523,2,1,25.585947268999995,73.866402138,99.45234940699999,0.05800692599999999,119.53923453,False,0,0,0,True,True,36,22,17,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26)","(173, 0, 346, 86, 259)",2,2,1.601580634,1.601580634,0.10245310245310245,110.0,0.05555555555555555,1.0,0.5,1.0,0.5,5,0,False,evaluator_only
ST1__Y8__V0_Q1__T_transition__r01__attempt_001,ST1,Y8,V0_Q1,V0,Q1,T_transition,122.2528144965554,1,True,False,0.10029903055812985,0.13333333333333333,1.0,0.07142857142857142,1,30.289023669,30.289023669,,0.2,5,0,5.0,0,40.2739157155,0.17857142857142858,8.285714285714286,0.9428571428571428,2,1,24.413553346999997,74.459074606,98.872627953,0.03611046400000001,119.304722721,False,0,0,0,True,True,29,15,10,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53)","(173, 0, 346, 86, 259)",2,2,1.760957433,1.760957433,0.08225108225108226,210.0,0.06896551724137931,1.0,0.5,1.0,0.5,5,0,False,evaluator_only
ST1__Y8__V0_Q1__T_transition__r02__attempt_001,ST1,Y8,V0_Q1,V0,Q1,T_transition,122.2528144965554,2,True,False,0.10206627701340677,0.13333333333333333,1.0,0.07142857142857142,1,28.668642271,28.668642271,,0.2,5,0,5.0,0,33.389617486029415,0.14705882352941177,8.536585365853659,0.9512195121951219,2,1,27.033757499999993,73.691328328,100.72508582799999,0.04201313,119.643758612,False,0,0,0,True,True,35,21,16,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15)","(173, 0, 346, 86, 259)",2,2,1.595608221,1.595608221,0.09956709956709957,110.0,0.05714285714285714,1.0,0.5,1.0,0.5,5,0,False,evaluator_only
ST1__Y8__V0_Q2__T_high__r00__attempt_001,ST1,Y8,V0_Q2,V0,Q2,T_high,123.9524739725,0,True,False,0.08832522700836888,0.16,1.0,0.08695652173913043,2,36.132563778,36.132563778,76.607197203,0.5,4,0,2.0,0,52.75036856044445,0.2222222222222222,7.313725490196078,0.9019607843137255,5,2,30.4373407,61.881321385999996,92.31866208599999,0.05344342199999999,121.14627062,False,0,0,0,True,True,46,28,24,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26, 37, 48, 58, 69, 80, 91, 101, 112, 123, 134)","(173, 259, 129, 216)",5,5,1.66968729,1.66968729,0.13131313131313133,110.0,0.10869565217391304,1.0,0.6,1.0,0.4,4,0,False,evaluator_only
