mode,width_mode,scenario,planner,budget,runs,missing_mass_fraction_mean,missing_mass_fraction_std,missing_mass_fraction_p025,missing_mass_fraction_p975,found_positive_bins_mean,found_positive_bins_std,found_positive_bins_p025,found_positive_bins_p975,audit_calls_mean,audit_calls_std,audit_calls_p025,audit_calls_p975,discover_calls_mean,discover_calls_std,discover_calls_p025,discover_calls_p975,repair_calls_mean,repair_calls_std,repair_calls_p025,repair_calls_p975,phi_upper_missing_mass_mean,phi_upper_missing_mass_std,phi_upper_missing_mass_p025,phi_upper_missing_mass_p975,phi_true_missing_mass_mean,phi_true_missing_mass_std,phi_true_missing_mass_p025,phi_true_missing_mass_p975
full,narrow,weak,top_prior_only,40,120,0.890035,0.034846,0.822642,0.940275,9.258333,3.282519,3.000000,16.025000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,25.221123,7.703580,15.523518,44.424659,0.890035,0.034846,0.822642,0.940275
full,narrow,weak,top_prior_only,80,120,0.824581,0.040682,0.740196,0.889922,14.850000,4.621778,5.975000,24.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,25.155668,7.705323,15.453836,44.402992,0.824581,0.040682,0.740196,0.889922
full,narrow,weak,top_prior_only,120,120,0.765796,0.043988,0.681955,0.847042,19.833333,5.961450,8.975000,34.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,25.096884,7.703249,15.406441,44.292955,0.765796,0.043988,0.681955,0.847042
full,narrow,weak,top_prior_only,160,120,0.714801,0.044003,0.623281,0.795466,24.233333,7.071932,11.000000,40.025000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,25.045889,7.705959,15.351993,44.226250,0.714801,0.044003,0.623281,0.795466
full,narrow,weak,uniform,20,120,0.990987,0.010670,0.967701,1.000000,0.766667,0.937491,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,25.322074,7.710784,15.602322,44.426364,0.990987,0.010670,0.967701,1.000000
full,narrow,weak,uniform,40,120,0.980423,0.015807,0.943132,1.000000,1.650000,1.320669,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,25.311511,7.709540,15.601758,44.426364,0.980423,0.015807,0.943132,1.000000
full,narrow,weak,uniform,80,120,0.961557,0.022788,0.912995,1.000000,3.250000,2.021757,0.000000,7.025000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,25.292645,7.708937,15.593953,44.383030,0.961557,0.022788,0.912995,1.000000
full,narrow,weak,uniform,120,120,0.942551,0.025841,0.888850,0.985794,4.916667,2.505272,1.000000,10.025000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,25.273638,7.711482,15.562544,44.361364,0.942551,0.025841,0.888850,0.985794
full,narrow,weak,uniform,160,120,0.922083,0.028168,0.867893,0.975008,6.666667,2.956161,1.975000,13.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,25.253171,7.711628,15.546746,44.316894,0.922083,0.028168,0.867893,0.975008
full,narrow,weak,v1_full_planner,20,120,0.928458,0.035933,0.847751,0.981604,5.775000,2.043129,0.975000,10.025000,7.283333,0.503046,7.000000,8.025000,2.775000,2.647208,1.000000,12.025000,9.941667,2.652973,0.000000,12.000000,21.530622,6.583824,13.306392,38.039118,0.928458,0.035933,0.847751,0.981604
full,narrow,weak,v1_full_planner,40,120,0.888228,0.045809,0.762394,0.946004,9.108333,3.468419,4.000000,19.000000,14.225000,0.455750,14.000000,15.000000,5.991667,4.662789,1.000000,15.000000,19.783333,4.733187,11.000000,25.000000,18.752213,5.626456,11.260053,32.853224,0.888228,0.045809,0.762394,0.946004
