call_idx,unit_id,action_type,surrogate_score,oracle_outcome,event_f1_before,event_f1_after,realized_event_f1_delta
32,2,DISCOVER_CORE,0.0025208937145123,negative,0.14285714285714288,0.14285714285714288,0.0
33,297,DISCOVER_CORE,0.0025071138569908,positive,0.14285714285714288,0.20689655172413793,0.06403940886699505
34,240,DISCOVER_CORE,0.0024986970323805,negative,0.20689655172413793,0.20689655172413793,0.0
35,271,DISCOVER_CORE,0.0024917972058773,negative,0.20689655172413793,0.20689655172413793,0.0
36,292,DISCOVER_CORE,0.0024857783669502,negative,0.20689655172413793,0.20689655172413793,0.0
37,83,DISCOVER_CORE,0.0024840255707737,positive,0.20689655172413793,0.2666666666666667,0.05977011494252879
38,61,DISCOVER_CORE,0.0024834239743261,negative,0.2666666666666667,0.2666666666666667,0.0
39,96,DISCOVER_CORE,0.0024814767884314,negative,0.2666666666666667,0.2666666666666667,0.0
40,55,DISCOVER_CORE,0.0024811343960734,negative,0.2666666666666667,0.2666666666666667,0.0
41,35,DISCOVER_CORE,0.0024722274423109,negative,0.2666666666666667,0.2666666666666667,0.0
42,342,DISCOVER_CORE,0.0024220696195322,negative,0.2666666666666667,0.2666666666666667,0.0
43,52,DISCOVER_CORE,0.0024123784807997,negative,0.2666666666666667,0.2666666666666667,0.0
44,217,DISCOVER_CORE,0.0023635548500525,positive,0.2666666666666667,0.32258064516129037,0.05591397849462365
45,15,DISCOVER_CORE,0.0023588209803925,negative,0.32258064516129037,0.32258064516129037,0.0
46,242,DISCOVER_CORE,0.0023550350791993,negative,0.32258064516129037,0.32258064516129037,0.0
47,264,DISCOVER_CORE,0.0023419324980138,negative,0.32258064516129037,0.32258064516129037,0.0
48,63,DISCOVER_CORE,0.0023308108321856,negative,0.32258064516129037,0.32258064516129037,0.0
49,278,DISCOVER_CORE,0.0023263707111306,negative,0.32258064516129037,0.32258064516129037,0.0
50,67,DISCOVER_CORE,0.0022961362048003,negative,0.32258064516129037,0.32258064516129037,0.0
51,85,DISCOVER_CORE,0.0022875933262423,negative,0.32258064516129037,0.32258064516129037,0.0
52,90,DISCOVER_CORE,0.0022782265546983,negative,0.32258064516129037,0.32258064516129037,0.0
53,344,DISCOVER_CORE,0.0022754132264645,negative,0.32258064516129037,0.32258064516129037,0.0
54,177,DISCOVER_CORE,0.0022569241019077,positive,0.32258064516129037,0.3125,-0.01008064516129037
55,205,DISCOVER_CORE,0.0022564069171899,negative,0.3125,0.3125,0.0
56,33,DISCOVER_CORE,0.0022539741512834,negative,0.3125,0.3125,0.0
57,307,DISCOVER_CORE,0.0022538274753866,negative,0.3125,0.3125,0.0
58,279,DISCOVER_CORE,0.0022519831602371,negative,0.3125,0.3125,0.0
59,239,DISCOVER_CORE,0.0022489348211292,negative,0.3125,0.3125,0.0
60,56,DISCOVER_CORE,0.0022405777322694,negative,0.3125,0.3125,0.0
61,288,DISCOVER_CORE,0.0022391612566029,negative,0.3125,0.3125,0.0
62,276,DISCOVER_CORE,0.0022260783253057,positive,0.3125,0.36363636363636365,0.051136363636363646
63,332,DISCOVER_CORE,0.0022090120125361,negative,0.36363636363636365,0.36363636363636365,0.0
64,141,DISCOVER_CORE,0.0022077179793413,negative,0.36363636363636365,0.36363636363636365,0.0
65,302,DISCOVER_CORE,0.0022061207677857,negative,0.36363636363636365,0.36363636363636365,0.0
66,135,DISCOVER_CORE,0.0021887023554791,negative,0.36363636363636365,0.36363636363636365,0.0
67,157,DISCOVER_CORE,0.0021811810558315,negative,0.36363636363636365,0.36363636363636365,0.0
68,145,DISCOVER_CORE,0.0021781354159269,negative,0.36363636363636365,0.36363636363636365,0.0
69,167,DISCOVER_CORE,0.0021723772296317,negative,0.36363636363636365,0.36363636363636365,0.0
