trace_instance_id,video_id,query_id,proxy_id,budget,C1_precision,C1_recall,C1_F1,C1_mean_iou
63259adfa1746ea0dff97449d41ca6d220e48792553de27b1be41664f3ebf3c4,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
5bc47261ce8f357881257336fb7a54347b2f784a0d9c713d338598b45b7681a8,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
8582536b38e8e2149d5bdd8ae5dc92299ab5d0e2cce8e9623cda4210a2ac91d5,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
785ce378ebe4d76e9e77b56d331a72dc14d06ad838b7170fd4eaffd25df86206,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
b038d7553e5aff2e8b7d6650ed74d63f2856aef986cd1780a47ab4e6e5a67a59,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.4444444444444444,0.06779661016949153,0.1176470588235294,0.5416666666666666
c8f5c797ae3d0f514831304819d6a769510df365bf72205481a48ab86a8915ad,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.1,0.01694915254237288,0.028985507246376815,0.4
d27e670c1ebef62d34e3857e9bd9a621d4ee5d10375d53cba7b050c349390b5b,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.0,0.0,0.0,0.0
f7b47a35d5c8740e4044132252bfe384a66b4835763ae35087d57e7be3d52292,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.1,0.01694915254237288,0.028985507246376815,0.4
3441646f592ea15e252a44dd816ddd419d6c0ae1174a6d42749921b974fe6d41,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.09090909090909091,0.01694915254237288,0.028571428571428574,0.4
a947d7139824fb63ef7339b549ad97a081884c304e1a37c79cf95f75491192dd,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.09090909090909091,0.01694915254237288,0.028571428571428574,0.4
c294098f018de061a4bf6684685652704cf9c62cbcc42d3246c2ddc5efcc957e,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.0,0.0,0.0,0.0
3a3b79c48021e70d70db75b422316595b4fd1d488e2d8ed77b804cf912f72c47,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.18181818181818182,0.03389830508474576,0.05714285714285715,0.4
d74da0fb52bc1c774dd0ff0c04a90ece79a193cbc6e3d5c084fbf8a8a001aeb4,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.14285714285714285,0.01694915254237288,0.030303030303030297,0.6666666666666666
ac7622aaf30d25ec27de013c0bf33c671c397d38f7b188c722505cb45fc9e514,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.16666666666666666,0.01694915254237288,0.030769230769230767,0.5
8db7c459e0dc05210fdfa51d11ab1b943fcbcf9264623ad535cb57232cc53858,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.0,0.0,0.0,0.0
4302f4ca0e857f53f8a8b28a71e2965428801ae7d58a327318c90c4c92089827,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,0.0,0.0,0.0,0.0
