variant,segment_id,method_id,seed,budget_abs,budget_ratio,oracle_calls_total,returned_intervals,event_precision,event_recall,unique_event_coverage,strict_replay_or_posthoc,online_uses_event_id,can_be_main_comparison,applicability_note
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,2,36,0.3,36,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,0,12,0.1,12,"[(510.0, 520.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,1,12,0.1,12,"[(510.0, 520.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,2,12,0.1,12,"[(510.0, 520.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,0,24,0.2,24,"[(440.0, 450.0), (510.0, 530.0), (550.0, 560.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,1,24,0.2,24,"[(440.0, 450.0), (510.0, 530.0), (550.0, 560.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,2,24,0.2,24,"[(440.0, 450.0), (510.0, 530.0), (550.0, 560.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,0,36,0.3,36,"[(440.0, 450.0), (510.0, 530.0), (550.0, 560.0), (990.0, 1000.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,1,36,0.3,36,"[(440.0, 450.0), (510.0, 530.0), (550.0, 560.0), (990.0, 1000.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_1200_2400,ECP-oracle-ceiling,2,36,0.3,36,"[(440.0, 450.0), (510.0, 530.0), (550.0, 560.0), (990.0, 1000.0)]",0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,0,11,0.1,11,"[(60.0, 80.0), (770.0, 780.0)]",0.5,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,1,11,0.1,11,"[(60.0, 80.0), (770.0, 780.0)]",0.5,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,2,11,0.1,11,"[(60.0, 80.0), (770.0, 780.0)]",0.5,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,0,21,0.2,21,"[(60.0, 80.0), (770.0, 780.0)]",0.5,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,1,21,0.2,21,"[(60.0, 80.0), (770.0, 780.0)]",0.5,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,2,21,0.2,21,"[(60.0, 80.0), (770.0, 780.0)]",0.5,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,0,32,0.3,32,"[(60.0, 80.0), (360.0, 370.0), (770.0, 780.0)]",0.3333,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,1,32,0.3,32,"[(60.0, 80.0), (360.0, 370.0), (770.0, 780.0)]",0.3333,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_2400_3462,ECP-oracle-ceiling,2,32,0.3,32,"[(60.0, 80.0), (360.0, 370.0), (770.0, 780.0)]",0.3333,0.1111,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
