selector,budget,seed,event_id,event_t_start,event_t_end,best_interval_id,best_iou,covered_iou_0_3,covered_iou_0_5,any_overlap,center_hit
uniform_random,5,10,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0022,30.0,50.7,iv2_0009783,0.19323671497584538,False,False,True,False
uniform_random,5,11,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0034,760.0,770.7,iv2_0004446,0.12368421052631699,False,False,True,False
uniform_random,5,11,realcartest_event_0035,790.0,790.7,iv2_0007628,0.08750000000000568,False,False,True,True
uniform_random,5,11,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0037,830.0,880.7,iv2_0007763,0.47337278106508834,True,False,True,True
uniform_random,5,11,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,11,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0030,530.0,530.7,iv2_0003914,0.02187500000000142,False,False,True,True
uniform_random,5,12,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,12,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0030,530.0,530.7,iv2_0003157,0.04375000000000284,False,False,True,True
uniform_random,5,13,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0032,580.0,580.7,iv2_0010871,0.04375000000000284,False,False,True,True
uniform_random,5,13,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,13,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0037,830.0,880.7,iv2_0003989,0.5692599620493354,True,True,True,True
uniform_random,5,14,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,14,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0022,30.0,50.7,iv2_0008203,0.19323671497584538,False,False,True,False
uniform_random,5,15,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,15,realcartest_event_0040,1060.0,1060.7,iv2_0003418,0.04375000000000284,False,False,True,True
uniform_random,5,15,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,16,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,16,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,16,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,16,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
