run_id,method,budget,detection_rule,event_detection_recall,event_detection_precision,event_detection_f1,detected_reference_count,predicted_segment_count,duplicate_detection_rate,oracle_calls,proxy_calls,strict_boundary_iou_0.5_recall,strict_boundary_iou_0.5_precision,strict_boundary_iou_0.5_f1,output_dir,matched_mean_iou,median_start_error_seconds,median_end_error_seconds,mean_start_error_seconds,mean_end_error_seconds,mean_coverage_ratio,mean_overcoverage_ratio,mean_prediction_duration,mean_reference_duration,all_reference_best_iou_mean,family,seed,selected_threshold,diagnostic_upper_bound
ARC_proxy_only_b10_s0_th0.4,ARC-proxy-only,10,iou_0.1,0.1,0.15384615384615385,0.12121212121212123,2,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.4,0.5175000000000001,5.0,14.299999999999983,5.0,14.299999999999983,0.90138067061144,1.8949658058213066,40.0,30.700000000000017,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b10_s0_th0.4,ARC-proxy-only,10,iou_0.3,0.1,0.15384615384615385,0.12121212121212123,2,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.4,0.5175000000000001,5.0,14.299999999999983,5.0,14.299999999999983,0.90138067061144,1.8949658058213066,40.0,30.700000000000017,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b10_s0_th0.4,ARC-proxy-only,10,iou_0.5,0.05,0.07692307692307693,0.060606060606060615,1,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.4,0.6783333333333333,10.0,9.299999999999955,10.0,9.299999999999955,0.8027613412228799,0.9861932938856007,50.0,50.700000000000045,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b10_s0_th0.5,ARC-proxy-only,10,overlap_any,0.05,0.5,0.09090909090909091,1,2,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.5,0.011666666666666667,50.0,9.299999999999955,50.0,9.299999999999955,0.013806706114399306,0.19723865877712013,10.0,50.700000000000045,0.0005833333333333334,baseline,0,0.5,False
ARC_proxy_only_b10_s0_th0.5,ARC-proxy-only,10,overlap_min_seconds_1.0,0.0,0.0,0.0,0,2,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0005833333333333334,baseline,0,0.5,False
ARC_proxy_only_b10_s0_th0.5,ARC-proxy-only,10,iou_0.1,0.0,0.0,0.0,0,2,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0005833333333333334,baseline,0,0.5,False
ARC_proxy_only_b10_s0_th0.5,ARC-proxy-only,10,iou_0.3,0.0,0.0,0.0,0,2,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0005833333333333334,baseline,0,0.5,False
ARC_proxy_only_b10_s0_th0.5,ARC-proxy-only,10,iou_0.5,0.0,0.0,0.0,0,2,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b10_s0_th0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0005833333333333334,baseline,0,0.5,False
ARC_proxy_only_b20_s0_th0.1,ARC-proxy-only,20,overlap_any,0.05,1.0,0.09523809523809523,1,1,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b20_s0_th0.1,0.04225,830.0,319.29999999999995,830.0,319.29999999999995,1.0,23.668639053254417,1200.0,50.700000000000045,0.005562500000000002,baseline,0,0.1,False
ARC_proxy_only_b20_s0_th0.1,ARC-proxy-only,20,overlap_min_seconds_1.0,0.05,1.0,0.09523809523809523,1,1,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b20_s0_th0.1,0.04225,830.0,319.29999999999995,830.0,319.29999999999995,1.0,23.668639053254417,1200.0,50.700000000000045,0.005562500000000002,baseline,0,0.1,False
