scope,method,domain,video_id,query_id,budget,event_precision,event_recall,event_f1,tiou_03,tiou_05,matched_mean_iou,verified_positive_units,verified_event_count,verified_event_yield,logical_oracle_calls,returned_event_count,overmerge,oversplit
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,long_video_dataset3,__within_video_query_average__,20,0.6,0.03076923076923077,0.05820105820105821,0.0,0.0,0.03150000000000204,0.8,0.8,0.04,20.0,0.8,0.0,0.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,long_video_dataset3,__within_video_query_average__,50,1.0,0.12307692307692308,0.21799671592775044,0.007692307692307693,0.007692307692307693,0.08624999999999053,3.4,3.2,0.064,50.0,3.2,0.0,0.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,long_video_dataset3,__within_video_query_average__,80,1.0,0.2230769230769231,0.363880742913001,0.038461538461538464,0.038461538461538464,0.1579050289274479,6.6,5.8,0.0725,80.0,5.8,0.0,0.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,long_video_dataset3,__within_video_query_average__,100,1.0,0.27692307692307694,0.4335115864527629,0.046153846153846156,0.046153846153846156,0.15238234312415386,8.2,7.2,0.07200000000000001,100.0,7.2,0.0,0.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,realcartest,__within_video_query_average__,5,0.5,0.025,0.047619047619047616,0.0,0.0,0.03500000000000227,0.5,0.5,0.1,2.8,0.5,0.0,0.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,realcartest,__within_video_query_average__,10,0.5,0.04,0.07359307359307359,0.01,0.0,0.0763091787439629,0.8,0.8,0.08,5.3,0.8,0.0,0.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,realcartest,__within_video_query_average__,20,0.48,0.11499999999999999,0.18482051282051284,0.035,0.005,0.12150599828728641,2.6,2.4,0.12,10.3,2.4,0.0,0.1
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,realcartest,__within_video_query_average__,50,0.4533333333333333,0.24500000000000002,0.3175,0.09,0.045,0.1278968958865248,7.6,5.4,0.10800000000000001,25.3,5.4,0.0,0.5
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,realcartest,__within_video_query_average__,80,0.4526045505921667,0.37,0.4055472238134777,0.135,0.095,0.13078405851266675,11.8,8.2,0.1025,40.3,8.2,0.0,0.8
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,realcartest,__within_video_query_average__,100,0.46027926322043966,0.445,0.45114814062182484,0.15,0.13,0.12888928031042907,14.2,9.7,0.10045410628019324,48.5,9.7,0.0,0.8
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,long_video_dataset3,__within_video_query_average__,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,long_video_dataset3,__within_video_query_average__,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,long_video_dataset3,__within_video_query_average__,20,1.0,0.15384615384615385,0.2666666666666667,0.0,0.0,0.0659789343246558,4.0,4.0,0.2,20.0,4.0,0.0,0.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,long_video_dataset3,__within_video_query_average__,50,0.8571428571428571,0.23076923076923078,0.36363636363636365,0.0,0.0,0.06731928954976447,7.0,7.0,0.14,50.0,7.0,0.0,1.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,long_video_dataset3,__within_video_query_average__,80,0.8461538461538461,0.4230769230769231,0.5641025641025641,0.038461538461538464,0.038461538461538464,0.14713592514098994,13.0,13.0,0.1625,80.0,13.0,0.0,2.0
