dataset,method,method_variant,seed,budget,exact_oracle_calls,selected_positive_units,selected_distinct_reference_events,positive_duplicate_burden,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute
development,oracle_ceiling,reference_aware,0,5,5.0,5.0,5.0,0.0,1.0,0.19230769230769232,0.32258064516129037,21.0,5.0,26.0,0.038461538461538464,0.038461538461538464,0.242915887850469,0.0,0.0,50.0,0.3373819163292884,0.23076923076923078
development,oracle_ceiling,reference_aware,0,10,10.0,10.0,10.0,0.0,1.0,0.38461538461538464,0.5555555555555556,16.0,10.0,26.0,0.07692307692307693,0.07692307692307693,0.24291588785046958,0.0,0.0,100.0,0.6747638326585768,0.23076923076923078
development,oracle_ceiling,reference_aware,0,20,20.0,20.0,20.0,0.0,1.0,0.7692307692307693,0.8695652173913044,6.0,20.0,26.0,0.15384615384615385,0.15384615384615385,0.24561167471539885,0.0,0.0,200.0,1.3495276653171535,0.23076923076923078
development,oracle_ceiling,reference_aware,0,50,50.0,39.0,26.0,13.0,0.9285714285714286,1.0,0.962962962962963,2.0,28.0,26.0,0.23076923076923078,0.19230769230769232,0.17579472881516944,0.0,2.0,390.0,2.6315789473684497,0.15384615384615385
development,oracle_ceiling,reference_aware,0,80,80.0,39.0,26.0,13.0,0.9285714285714286,1.0,0.962962962962963,2.0,28.0,26.0,0.23076923076923078,0.19230769230769232,0.17579472881516944,0.0,2.0,390.0,2.6315789473684497,0.15384615384615385
development,oracle_ceiling,reference_aware,0,100,100.0,39.0,26.0,13.0,0.9285714285714286,1.0,0.962962962962963,2.0,28.0,26.0,0.23076923076923078,0.19230769230769232,0.17579472881516944,0.0,2.0,390.0,2.6315789473684497,0.15384615384615385
development,random,uniform_nested,0,5,5.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,0,10,10.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,0,20,20.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,0,50,50.0,4.0,4.0,0.0,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.08347893432464984,0.0,0.0,40.0,0.26990553306343074,0.23076923076923078
development,random,uniform_nested,0,80,80.0,11.0,9.0,2.0,1.0,0.34615384615384615,0.5142857142857142,17.0,9.0,26.0,0.07692307692307693,0.07692307692307693,0.23749010153883862,0.0,0.0,110.0,0.7422402159244345,0.1888111888111888
development,random,uniform_nested,0,100,100.0,15.0,12.0,3.0,0.9230769230769231,0.46153846153846156,0.6153846153846155,13.0,13.0,26.0,0.07692307692307693,0.07692307692307693,0.19270090948746224,0.0,1.0,150.0,1.0121457489878651,0.18461538461538463
development,random,uniform_nested,1,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,1,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,1,20,20.0,3.0,2.0,1.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.15891573729862776,0.0,0.0,30.0,0.20242914979757304,0.15384615384615385
development,random,uniform_nested,1,50,50.0,7.0,5.0,2.0,0.8333333333333334,0.19230769230769232,0.3125,20.0,6.0,26.0,0.0,0.0,0.09856629491944656,0.0,1.0,70.0,0.4723346828610038,0.16483516483516483
development,random,uniform_nested,1,80,80.0,10.0,8.0,2.0,0.8888888888888888,0.3076923076923077,0.4571428571428572,17.0,9.0,26.0,0.0,0.0,0.08785393432465226,0.0,1.0,100.0,0.6747638326585768,0.18461538461538463
development,random,uniform_nested,1,100,100.0,14.0,12.0,2.0,0.9230769230769231,0.46153846153846156,0.6153846153846155,13.0,13.0,26.0,0.0,0.0,0.08190262288309924,0.0,1.0,140.0,0.9446693657220075,0.1978021978021978
development,random,uniform_nested,2,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,2,10,10.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,2,20,20.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,2,50,50.0,6.0,6.0,0.0,1.0,0.23076923076923078,0.375,20.0,6.0,26.0,0.038461538461538464,0.038461538461538464,0.21724919609182472,0.0,0.0,60.0,0.4048582995951461,0.23076923076923078
development,random,uniform_nested,2,80,80.0,10.0,8.0,2.0,1.0,0.3076923076923077,0.47058823529411764,18.0,8.0,26.0,0.11538461538461539,0.11538461538461539,0.30106189706886943,0.0,0.0,100.0,0.6747638326585768,0.18461538461538463
development,random,uniform_nested,2,100,100.0,14.0,10.0,4.0,0.9090909090909091,0.38461538461538464,0.5405405405405405,15.0,11.0,26.0,0.11538461538461539,0.11538461538461539,0.2637410913849587,0.0,1.0,140.0,0.9446693657220075,0.16483516483516483
development,random,uniform_nested,3,5,5.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,3,10,10.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,3,20,20.0,2.0,2.0,0.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.05249999999999204,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
development,random,uniform_nested,3,50,50.0,3.0,3.0,0.0,1.0,0.11538461538461539,0.20689655172413793,23.0,3.0,26.0,0.0,0.0,0.03759259259258746,0.0,0.0,30.0,0.20242914979757304,0.23076923076923078
development,random,uniform_nested,3,80,80.0,4.0,4.0,0.0,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.04569444444444031,0.0,0.0,40.0,0.26990553306343074,0.23076923076923078
development,random,uniform_nested,3,100,100.0,6.0,5.0,1.0,0.8333333333333334,0.19230769230769232,0.3125,20.0,6.0,26.0,0.038461538461538464,0.038461538461538464,0.24669903531019446,0.0,1.0,60.0,0.4048582995951461,0.19230769230769232
development,random,uniform_nested,4,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,4,10,10.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,4,20,20.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,4,50,50.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,4,80,80.0,4.0,4.0,0.0,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.07472893432465354,0.0,0.0,40.0,0.26990553306343074,0.23076923076923078
development,random,uniform_nested,4,100,100.0,6.0,4.0,2.0,0.8,0.15384615384615385,0.25806451612903225,21.0,5.0,26.0,0.038461538461538464,0.038461538461538464,0.19972893432465355,0.0,1.0,60.0,0.4048582995951461,0.15384615384615385
development,random,uniform_nested,5,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,5,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,5,20,20.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.034999999999990906,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,5,50,50.0,4.0,4.0,0.0,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.038461538461538464,0.038461538461538464,0.29087379413774117,0.0,0.0,40.0,0.26990553306343074,0.23076923076923078
development,random,uniform_nested,5,80,80.0,8.0,8.0,0.0,1.0,0.3076923076923077,0.47058823529411764,18.0,8.0,26.0,0.07692307692307693,0.07692307692307693,0.28413432697541186,0.0,0.0,80.0,0.5398110661268615,0.23076923076923078
development,random,uniform_nested,5,100,100.0,9.0,9.0,0.0,1.0,0.34615384615384615,0.5142857142857142,17.0,9.0,26.0,0.07692307692307693,0.07692307692307693,0.2564527350892552,0.0,0.0,90.0,0.6072874493927192,0.23076923076923075
