effective_sensitivity,effective_specificity,unknown_rate,cost_assumption,fixed_fraction,all_placements_pass,worst_event_recall,worst_dense_ratio,worst_false_pruned_event_multiplicity
0.975,0.9,0.1,registered_constant_optimistic,1.0,False,0.0,0.7384726224783862,26
0.975,0.9,0.1,registered_grid_0.95,0.95,False,0.0,1.0708213256484158,26
0.975,0.9,0.2,registered_constant_optimistic,1.0,False,0.0,0.7845821325648416,26
0.975,0.9,0.2,registered_grid_0.95,0.95,False,0.0,1.1277377521613845,26
0.975,0.95,0.0,registered_constant_optimistic,1.0,False,0.0,0.6865994236311239,26
0.975,0.95,0.0,registered_grid_0.95,0.95,False,0.0,1.0160662824207498,26
0.975,0.95,0.05,registered_constant_optimistic,1.0,False,0.0,0.7038904899135446,26
0.975,0.95,0.05,registered_grid_0.95,0.95,False,0.0,1.0340778097982712,26
0.975,0.95,0.1,registered_constant_optimistic,1.0,False,0.0,0.7154178674351584,26
0.975,0.95,0.1,registered_grid_0.95,0.95,False,0.0,1.0469020172910668,26
0.975,0.95,0.2,registered_constant_optimistic,1.0,False,0.0,0.7557636887608069,26
0.975,0.95,0.2,registered_grid_0.95,0.95,False,0.0,1.0885446685878974,26
0.975,0.975,0.0,registered_constant_optimistic,1.0,False,0.0,0.6693083573487032,26
0.975,0.975,0.0,registered_grid_0.95,0.95,False,0.0,0.9966138328530264,26
0.975,0.975,0.05,registered_constant_optimistic,1.0,False,0.0,0.6865994236311239,26
0.975,0.975,0.05,registered_grid_0.95,0.95,False,0.0,1.0160662824207498,26
0.975,0.975,0.1,registered_constant_optimistic,1.0,False,0.0,0.7096541786743515,26
0.975,0.975,0.1,registered_grid_0.95,0.95,False,0.0,1.0411383285302598,26
0.975,0.975,0.2,registered_constant_optimistic,1.0,False,0.0,0.75,26
0.975,0.975,0.2,registered_grid_0.95,0.95,False,0.0,1.0840778097982715,26
0.975,0.99,0.0,registered_constant_optimistic,1.0,False,0.0,0.6577809798270894,26
0.975,0.99,0.0,registered_grid_0.95,0.95,False,0.0,0.9839337175792513,26
0.975,0.99,0.05,registered_constant_optimistic,1.0,False,0.0,0.6865994236311239,26
0.975,0.99,0.05,registered_grid_0.95,0.95,False,0.0,1.0160662824207498,26
0.975,0.99,0.1,registered_constant_optimistic,1.0,False,0.0,0.7096541786743515,26
0.975,0.99,0.1,registered_grid_0.95,0.95,False,0.0,1.0411383285302598,26
0.975,0.99,0.2,registered_constant_optimistic,1.0,False,0.0,0.7442363112391931,26
0.975,0.99,0.2,registered_grid_0.95,0.95,False,0.0,1.0781700288184444,26
0.975,1.0,0.0,registered_constant_optimistic,1.0,False,0.0,0.6462536023054755,26
0.975,1.0,0.0,registered_grid_0.95,0.95,False,0.0,0.9726945244956776,26
0.975,1.0,0.05,registered_constant_optimistic,1.0,False,0.0,0.6865994236311239,26
0.975,1.0,0.05,registered_grid_0.95,0.95,False,0.0,1.0160662824207498,26
0.975,1.0,0.1,registered_constant_optimistic,1.0,False,0.0,0.7038904899135446,26
0.975,1.0,0.1,registered_grid_0.95,0.95,False,0.0,1.0340778097982712,26
0.975,1.0,0.2,registered_constant_optimistic,1.0,False,0.0,0.7384726224783862,26
0.975,1.0,0.2,registered_grid_0.95,0.95,False,0.0,1.070965417867436,26
0.99,0.8,0.0,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7557636887608069,15
0.99,0.8,0.0,registered_grid_0.95,0.95,False,0.4230769230769231,1.0914265129683005,15
0.99,0.8,0.05,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7672910662824207,15
0.99,0.8,0.05,registered_grid_0.95,0.95,False,0.4230769230769231,1.1030979827089347,15
0.99,0.8,0.1,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7961095100864554,15
0.99,0.8,0.1,registered_grid_0.95,0.95,False,0.4230769230769231,1.1352305475504334,15
0.99,0.8,0.2,registered_constant_optimistic,1.0,False,0.4230769230769231,0.8422190201729106,15
0.99,0.8,0.2,registered_grid_0.95,0.95,False,0.4230769230769231,1.1826368876080704,15
0.99,0.9,0.0,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7096541786743515,15
0.99,0.9,0.0,registered_grid_0.95,0.95,False,0.4230769230769231,1.0399855907780984,15
0.99,0.9,0.05,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7211815561959655,15
0.99,0.9,0.05,registered_grid_0.95,0.95,False,0.4230769230769231,1.052809798270894,15
0.99,0.9,0.1,registered_constant_optimistic,1.0,False,0.4230769230769231,0.75,15
0.99,0.9,0.1,registered_grid_0.95,0.95,False,0.4230769230769231,1.0856628242074935,15
0.99,0.9,0.2,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7961095100864554,15
0.99,0.9,0.2,registered_grid_0.95,0.95,False,0.4230769230769231,1.1352305475504334,15
0.99,0.95,0.0,registered_constant_optimistic,1.0,False,0.4230769230769231,0.6923631123919308,15
0.99,0.95,0.0,registered_grid_0.95,0.95,False,0.4230769230769231,1.021974063400577,15
0.99,0.95,0.05,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7096541786743515,15
0.99,0.95,0.05,registered_grid_0.95,0.95,False,0.4230769230769231,1.0399855907780984,15
0.99,0.95,0.1,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7211815561959655,15
0.99,0.95,0.1,registered_grid_0.95,0.95,False,0.4230769230769231,1.052809798270894,15
0.99,0.95,0.2,registered_constant_optimistic,1.0,False,0.4230769230769231,0.7672910662824207,15
0.99,0.95,0.2,registered_grid_0.95,0.95,False,0.4230769230769231,1.1030979827089347,15
0.99,0.975,0.0,registered_constant_optimistic,1.0,False,0.4230769230769231,0.6693083573487032,15
0.99,0.975,0.0,registered_grid_0.95,0.95,False,0.4230769230769231,0.9963256484149862,15
