replicate,metric,median,mean
76,delta_AnytimeAUC,-0.0019037036511618532,-0.002156074731145189
77,delta_F1,0.0,-0.0017257587966693425
77,delta_EventRecall,0.0,-0.0025467440361057418
77,delta_AnytimeAUC,0.005286363539346306,0.0002406143323575305
78,delta_F1,0.0,-0.0022190222890502835
78,delta_EventRecall,0.0,-0.0015135789655768917
78,delta_AnytimeAUC,0.007912120399960934,0.0022765139125635186
79,delta_F1,0.022313315806466474,0.02001253017234751
79,delta_EventRecall,0.019733924611973375,0.017701404286770125
79,delta_AnytimeAUC,0.011702019227756127,0.011348786100088132
80,delta_F1,0.0,0.004048550927220208
80,delta_EventRecall,0.0,0.004545454545454542
80,delta_AnytimeAUC,0.008441970091462928,0.006080095222685734
81,delta_F1,-0.0065306122448979,-0.003902629544968642
81,delta_EventRecall,0.0,-0.0025467440361057418
81,delta_AnytimeAUC,-0.009093770841670012,-0.004552763794647909
82,delta_F1,0.0,0.000575026837449624
82,delta_EventRecall,0.0,-0.000514223710902492
82,delta_AnytimeAUC,0.007912120399960934,0.0011158666192290733
83,delta_F1,0.0069023569023569,0.010397887488559384
83,delta_EventRecall,0.00609756097560975,0.011123429416112334
83,delta_AnytimeAUC,0.007912120399960934,0.0035416037900745426
84,delta_F1,0.0,0.004006399386469225
84,delta_EventRecall,0.0,0.0030318755798776505
84,delta_AnytimeAUC,0.007912120399960934,0.0047080171707917645
85,delta_F1,-0.0065306122448979,-0.0016018439108496756
85,delta_EventRecall,0.0,-0.0005142237109024917
85,delta_AnytimeAUC,-0.009093770841670012,-0.0047293803584819065
86,delta_F1,0.0,0.0005750268374496243
86,delta_EventRecall,0.0,-0.0005142237109024917
86,delta_AnytimeAUC,0.011067726952077556,0.002167735469934614
87,delta_F1,0.0,0.005754164679570466
87,delta_EventRecall,0.0,0.005544809800128943
87,delta_AnytimeAUC,0.005286363539346306,0.0014708900151430282
88,delta_F1,-0.0102941176470588,-0.0028563457115699763
88,delta_EventRecall,-0.010638297872340425,-0.004060323001682633
88,delta_AnytimeAUC,-0.005490088115341768,-0.003528152783039159
89,delta_F1,0.0,0.008097101854440417
89,delta_EventRecall,0.0,0.009090909090909084
89,delta_AnytimeAUC,0.005286363539346306,0.0026663515032029996
90,delta_F1,0.0,0.005260901187189525
90,delta_EventRecall,0.0,0.006577974870657792
90,delta_AnytimeAUC,0.011067726952077556,0.004558658446054557
91,delta_F1,0.0036370507799079505,0.006966514939539783
91,delta_EventRecall,0.00609756097560975,0.007577330125332192
91,delta_AnytimeAUC,0.0007220532094527748,-5.054676148814885e-05
92,delta_F1,-0.00326530612244895,-0.002814194170818992
92,delta_EventRecall,0.0,-0.0025467440361057418
92,delta_AnytimeAUC,-0.0019037036511618532,-0.002156074731145189
93,delta_F1,0.0,0.0017056137523502578
93,delta_EventRecall,0.0,0.0009993552546744
93,delta_AnytimeAUC,0.005286363539346306,0.002780896033214681
94,delta_F1,-0.00326530612244895,-0.007951180472188851
94,delta_EventRecall,0.0,-0.0070921985815602835
94,delta_AnytimeAUC,-0.0019037036511618532,-0.0021908889258707154
95,delta_F1,-0.00326530612244895,-0.005650394838069884
95,delta_EventRecall,0.0,-0.0050596782563570334
95,delta_AnytimeAUC,-0.0019037036511618532,-0.0034193743404102536
96,delta_F1,0.0,0.004006399386469225
96,delta_EventRecall,0.0,0.0030318755798776505
96,delta_AnytimeAUC,0.007912120399960934,0.0047080171707917645
97,delta_F1,-0.01355942376950775,-0.009081767387089485
97,delta_EventRecall,-0.010638297872340425,-0.008605777547137176
97,delta_AnytimeAUC,-0.012680155305849927,-0.005959656041267404
98,delta_F1,-0.00326530612244895,-0.002814194170818992
98,delta_EventRecall,0.0,-0.0025467440361057418
98,delta_AnytimeAUC,0.0012519029009547683,-0.0011042058804396487
99,delta_F1,-0.00326530612244895,-0.0005134085367000259
99,delta_EventRecall,0.0,-0.000514223710902492
99,delta_AnytimeAUC,-0.0019037036511618532,-0.002332691294979187
100,delta_F1,0.015410958904109574,0.014322523529959925
100,delta_EventRecall,0.013636363636363625,0.013636363636363625
100,delta_AnytimeAUC,0.011702019227756127,0.007201592462842327
101,delta_F1,0.0,0.0011701987192183332
101,delta_EventRecall,0.0,0.0005189413596263584
101,delta_AnytimeAUC,0.010537877260575562,0.005548455262937781
102,delta_F1,0.0138047138047138,0.008607970654707158
102,delta_EventRecall,0.0121951219512195,0.00709691623028415
102,delta_AnytimeAUC,0.010537877260575562,0.00540665289382931
103,delta_F1,-0.0205882352941176,-0.006287718260589576
103,delta_EventRecall,-0.02127659574468085,-0.007606422292462775
103,delta_AnytimeAUC,-0.016266539770029842,-0.00712030333460185
104,delta_F1,0.0069023569023569,0.009143385687839083
104,delta_EventRecall,0.00609756097560975,0.007577330125332192
104,delta_AnytimeAUC,0.011597576643579549,0.006846569066928372
105,delta_F1,0.0,0.000617178378200608
105,delta_EventRecall,0.0,0.0009993552546744
105,delta_AnytimeAUC,0.008441970091462928,0.0024879446711230427
106,delta_F1,0.0,0.0063493365613391745
106,delta_EventRecall,0.0,0.006577974870657792
106,delta_AnytimeAUC,0.011067726952077556,0.006955347509557276
107,delta_F1,0.0,0.004601571268237933
107,delta_EventRecall,0.0,0.0040650406504065
107,delta_AnytimeAUC,0.010537877260575562,0.009140605814500472
108,delta_F1,-0.00326530612244895,-0.0004712569959490419
108,delta_EventRecall,0.0,0.0009993552546744
108,delta_AnytimeAUC,-0.0019037036511618532,-0.0009606132430852177
109,delta_F1,0.0,8.176334506868344e-05
109,delta_EventRecall,0.0,0.0005189413596263584
109,delta_AnytimeAUC,0.005286363539346306,0.0010480284980239802
110,delta_F1,-0.00326530612244895,-0.0005134085367000255
110,delta_EventRecall,0.0,-0.0005142237109024917
110,delta_AnytimeAUC,-0.0019037036511618532,-0.002332691294979187
111,delta_F1,0.0,0.005260901187189525
111,delta_EventRecall,0.0,0.006577974870657792
111,delta_AnytimeAUC,0.007912120399960934,0.0035067895953490164
112,delta_F1,0.022313315806466474,0.01319193661505929
112,delta_EventRecall,0.019733924611973375,0.012122784670786734
112,delta_AnytimeAUC,0.011172169536254134,0.0034328253474456374
113,delta_F1,-0.00326530612244895,-0.002814194170818992
113,delta_EventRecall,0.0,-0.0025467440361057418
113,delta_AnytimeAUC,-0.0019037036511618532,-0.002156074731145189
114,delta_F1,0.03082191780821915,0.0228487308395984
114,delta_EventRecall,0.02727272727272725,0.02021433850702142
114,delta_AnytimeAUC,0.011806461811932706,0.010508348007942115
115,delta_F1,-0.0102941176470588,-0.007993332012939834
115,delta_EventRecall,-0.010638297872340425,-0.008605777547137176
115,delta_AnytimeAUC,-0.005490088115341768,-0.0035629669777646846
116,delta_F1,0.0,-0.0022190222890502835
116,delta_EventRecall,0.0,-0.0015135789655768917
116,delta_AnytimeAUC,0.005286363539346306,0.001224645061857978
117,delta_F1,0.0,0.0017056137523502578
117,delta_EventRecall,0.0,0.0009993552546744
117,delta_AnytimeAUC,0.011597576643579549,0.005936502585331303
118,delta_F1,-0.0065306122448979,-0.006738830212219534
118,delta_EventRecall,0.0,-0.0050596782563570334
118,delta_AnytimeAUC,-0.009093770841670012,-0.004764194553207433
119,delta_F1,0.0069023569023569,0.011486322862709035
119,delta_EventRecall,0.00609756097560975,0.011123429416112334
119,delta_AnytimeAUC,0.011067726952077556,0.006990161704282803
120,delta_F1,0.0,0.0074377719354888246
120,delta_EventRecall,0.0,0.006577974870657792
120,delta_AnytimeAUC,0.011597576643579549,0.010403905423765536
121,delta_F1,0.0,0.0017056137523502578
121,delta_EventRecall,0.0,0.0009993552546744
121,delta_AnytimeAUC,0.005286363539346306,0.003832764883920222
122,delta_F1,0.0138047138047138,0.014875543870977649
122,delta_EventRecall,0.0121951219512195,0.013155949741315584
122,delta_AnytimeAUC,0.011067726952077556,0.010262103054657065
123,delta_F1,0.0069023569023569,0.012574758236858682
123,delta_EventRecall,0.00609756097560975,0.011123429416112334
123,delta_AnytimeAUC,0.011067726952077556,0.009386850767785523
124,delta_F1,0.0,-0.00451980792316925
124,delta_EventRecall,0.0,-0.0035460992907801418
124,delta_AnytimeAUC,0.005286363539346306,0.0014012616256919759
125,delta_F1,0.0069023569023569,0.006307185020588191
125,delta_EventRecall,0.00609756097560975,0.0050643959050809
125,delta_AnytimeAUC,0.011067726952077556,0.0066351383083688474
126,delta_F1,0.03082191780821915,0.019459509831329783
126,delta_EventRecall,0.02727272727272725,0.018181818181818167
126,delta_AnytimeAUC,0.011806461811932706,0.008288275508273393
127,delta_F1,0.03082191780821915,0.0194173582905788
127,delta_EventRecall,0.02727272727272725,0.016668239216241276
127,delta_AnytimeAUC,0.011806461811932706,0.006916197456379424
128,delta_F1,0.0,0.0006171783782006079
128,delta_EventRecall,0.0,0.0009993552546744
128,delta_AnytimeAUC,0.005286363539346306,0.00038420696971196155
129,delta_F1,0.0036370507799079505,0.0041303142722888915
129,delta_EventRecall,0.00609756097560975,0.0050643959050809
129,delta_AnytimeAUC,0.0007220532094527748,-0.0002619775200476728
130,delta_F1,0.0138047138047138,0.01487554387097765
130,delta_EventRecall,0.0121951219512195,0.013155949741315584
130,delta_AnytimeAUC,0.010537877260575562,0.009210234203951525
131,delta_F1,0.0,0.005260901187189525
131,delta_EventRecall,0.0,0.006577974870657792
131,delta_AnytimeAUC,0.007912120399960934,0.0035067895953490164
132,delta_F1,0.0,0.0001239148858196669
132,delta_EventRecall,0.0,0.00203252032520325
132,delta_AnytimeAUC,0.005286363539346306,0.0024201065499179497
133,delta_F1,0.0,-0.0017257587966693425
133,delta_EventRecall,0.0,-0.0025467440361057418
133,delta_AnytimeAUC,0.008441970091462928,0.001292483183063071
134,delta_F1,0.0,0.008097101854440417
134,delta_EventRecall,0.0,0.009090909090909084
134,delta_AnytimeAUC,0.008441970091462928,0.0037182203539085404
135,delta_F1,-0.0065306122448979,0.001234356756401216
135,delta_EventRecall,0.0,0.0019987105093488004
135,delta_AnytimeAUC,-0.009093770841670012,-0.004517949599922383
136,delta_F1,-0.0205882352941176,-0.008588503894708542
136,delta_EventRecall,-0.02127659574468085,-0.009638942617666025
136,delta_AnytimeAUC,-0.016266539770029842,-0.0069436867707678524
137,delta_F1,0.0,-0.004561959463920234
137,delta_EventRecall,0.0,-0.0050596782563570334
137,delta_AnytimeAUC,0.005286363539346306,2.918357379800655e-05
138,delta_F1,-0.00326530612244895,-0.002814194170818992
138,delta_EventRecall,0.0,-0.0025467440361057418
138,delta_AnytimeAUC,-0.0019037036511618532,-0.00320794358185073
139,delta_F1,0.0069023569023569,0.00865012219545814
139,delta_EventRecall,0.00609756097560975,0.008610495195861042
139,delta_AnytimeAUC,0.011067726952077556,0.00783059979642882
