target,group_type,group_value,n,positives,prevalence,brier,log_loss,ece,maximum_calibration_error,auroc,average_precision,spearman,positives_at_5,precision_at_5,positives_at_10,precision_at_10,positives_at_20,precision_at_20,positives_at_50,precision_at_50,positives_at_100,precision_at_100,top5_regret,top10_regret,top20_regret,top50_regret,top100_regret
actual_positive,proxy_percentile_bin,"(0.3, 0.4]",478,100,0.20920502092050208,0.17398830761514983,0.5346193297192213,0.1670987008346227,0.3032215034583083,0.47089947089947093,0.3333333333333333,-0.04186907952747198,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,10,20,50,100
actual_positive,proxy_percentile_bin,"(0.4, 0.5]",703,100,0.1422475106685633,0.16116110574420522,0.5035443923512662,0.17962613469397906,0.6654255626442529,0.9386401326699834,0.7299270072992701,0.5345026092166134,0,0.0,0,0.0,0,0.0,13,0.26,63,0.63,5,10,20,37,37
actual_positive,proxy_percentile_bin,"(0.5, 0.6]",1289,69,0.05352986811481769,0.13742006567404363,0.4593421378231958,0.2885349626446651,0.6686258288853868,0.42868852459016393,0.09007832898172324,-0.05572127642527765,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,10,20,50,69
actual_positive,proxy_percentile_bin,"(0.6, 0.7]",1653,221,0.1336963097398669,0.16031445811545728,0.5061964203838383,0.21535447559318352,0.2175972076620126,0.6735287797972649,0.2513693397339242,0.20485198754401265,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,10,20,50,100
actual_positive,proxy_percentile_bin,"(0.7, 0.8]",749,112,0.14953271028037382,0.18065496768449932,0.5522333994651075,0.25354288488881277,0.4080501831840033,0.5311448755326307,0.3509287984261501,0.03859224679083197,5,1.0,10,1.0,12,0.6,12,0.24,13,0.13,0,0,8,38,87
actual_positive,proxy_percentile_bin,"(0.8, 0.9]",730,72,0.09863013698630137,0.18911197433805918,0.5679876428262841,0.31526598091296754,0.32174745942012506,0.4452887537993921,0.12481492133490983,-0.05660176005442447,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,10,20,50,72
actual_positive,proxy_percentile_bin,"(0.9, 1.0]",577,189,0.3275563258232236,0.2623870561665087,0.7166179156971304,0.44515792692721246,0.6774455331831949,0.4477990508918344,0.3554618314398685,-0.08533511721543646,0,0.0,0,0.0,0,0.0,9,0.18,9,0.09,5,10,20,41,91
actual_positive,budget_region,1-5,550,60,0.10909090909090909,0.18109958955419808,0.549385131780252,0.27787197426477744,0.6138609402827985,0.5221088435374149,0.12361475598167371,0.023877308793205498,0,0.0,0,0.0,0,0.0,5,0.1,10,0.1,5,10,20,45,50
actual_positive,budget_region,11-20,1016,125,0.12303149606299213,0.16953572920976775,0.5253989631536962,0.24011467638933293,0.5037218597443679,0.4868686868686869,0.130702245085363,-0.01494236402689315,0,0.0,0,0.0,5,0.25,5,0.1,5,0.05,5,10,15,45,95
actual_positive,budget_region,21-50,2475,327,0.1321212121212121,0.1580351312639413,0.5005924975341913,0.2088216021319048,0.3194824435990378,0.5502024499000564,0.1571363669195192,0.058892549398231304,0,0.0,0,0.0,0,0.0,0,0.0,9,0.09,5,10,20,50,91
actual_positive,budget_region,51-100,2533,297,0.11725227003553099,0.1444951496036742,0.46847461804536816,0.20332369559783364,0.9039401432982423,0.5751025460327787,0.15934429079585355,0.08371094159811497,0,0.0,0,0.0,0,0.0,0,0.0,17,0.17,5,10,20,50,83
actual_positive,budget_region,6-10,533,67,0.12570356472795496,0.17698681358158494,0.5410939021343628,0.25035046856341775,0.3711199207069318,0.5015694061879443,0.152769280584305,0.0018023866429829043,0,0.0,4,0.4,4,0.2,9,0.18,9,0.09,5,6,16,41,58
