method,budget,selection_rank,unit_id,proxy_score
pstr_5_to_4,100,50,342,0.5530783112285766
pstr_5_to_4,100,51,52,0.5496507770903432
pstr_5_to_4,100,52,330,0.5358821131963424
pstr_5_to_4,100,53,217,0.5325554231490695
pstr_5_to_4,100,54,226,0.5323455860039765
pstr_5_to_4,100,55,15,0.530912920909698
pstr_5_to_4,100,56,242,0.5296012171719338
pstr_5_to_4,100,57,264,0.5250744047022463
pstr_5_to_4,100,58,155,0.5234286647736183
pstr_5_to_4,100,59,63,0.5212475051459906
pstr_5_to_4,100,60,278,0.5197236376633201
pstr_5_to_4,100,61,317,0.5191186604527276
pstr_5_to_4,100,62,36,0.5111403211896055
pstr_5_to_4,100,63,67,0.5094062841904405
pstr_5_to_4,100,64,272,0.505637005128128
pstr_5_to_4,100,65,90,0.5033427962114588
pstr_5_to_4,100,66,344,0.5023935252408356
pstr_5_to_4,100,67,315,0.4994520813460302
pstr_5_to_4,100,68,177,0.4961764067218399
pstr_5_to_4,100,69,288,0.4902382657737715
pstr_5_to_4,100,70,276,0.4858861486924493
pstr_5_to_4,100,71,176,0.4807496468301929
pstr_5_to_4,100,72,141,0.4798088943427007
pstr_5_to_4,100,73,302,0.4792818859234803
pstr_5_to_4,100,74,204,0.4759686810284873
pstr_5_to_4,100,75,135,0.4735517563545031
pstr_5_to_4,100,76,32,0.4703769505869776
pstr_5_to_4,100,77,145,0.4700907758779932
pstr_5_to_4,100,78,283,0.4625110307419411
pstr_5_to_4,100,79,300,0.4618420195731534
pstr_5_to_4,100,80,51,0.4576929778313021
pstr_5_to_4,100,81,259,0.453466075811837
pstr_5_to_4,100,82,74,0.4484858103422857
pstr_5_to_4,100,83,93,0.4456075753409951
pstr_5_to_4,100,84,223,0.4454556473936631
pstr_5_to_4,100,85,98,0.4441899500526543
pstr_5_to_4,100,86,200,0.4394917906743257
pstr_5_to_4,100,87,195,0.4381614588232884
pstr_5_to_4,100,88,136,0.4380346591334474
pstr_5_to_4,100,89,197,0.4352570867226517
pstr_5_to_4,100,90,296,0.4267510348722396
pstr_5_to_4,100,91,20,0.418091778052209
pstr_5_to_4,100,92,188,0.4178416343556031
pstr_5_to_4,100,93,0,0.4178243116174363
pstr_5_to_4,100,94,162,0.4175427617552591
pstr_5_to_4,100,95,23,0.4078846953109514
pstr_5_to_4,100,96,138,0.4009831911691188
pstr_5_to_4,100,97,260,0.3970933961888701
pstr_5_to_4,100,98,285,0.3957504247736189
pstr_5_to_4,100,99,109,0.3919772061306891
pstr_5_to_4,100,100,7,0.3897393589323536
