run_id,selector,seed,budget,legal_partition_count_before,legal_partition_count_after,ceiling_f1_before,ceiling_f1_after,ceiling_partition_equal,public_f1_before,public_f1_after,public_partition_equal,positive_contains_345_346,new_ceiling_partition_invariants_pass,new_public_partition_invariants_pass,complete_equivalence_pass
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s004_b20,RANDOM_CONTROLLED,4,20,3,3,0.1379310344827586,0.13793103448275862,True,0.1379310344827586,0.13793103448275862,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s004_b50,RANDOM_CONTROLLED,4,50,24,24,0.2580645161290322,0.25806451612903225,True,0.2580645161290322,0.25806451612903225,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s004_b80,RANDOM_CONTROLLED,4,80,24,24,0.3125,0.3125,True,0.3125,0.3125,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s004_b100,RANDOM_CONTROLLED,4,100,108,108,0.411764705882353,0.4117647058823529,True,0.411764705882353,0.411764705882353,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s005_b5,RANDOM_CONTROLLED,5,5,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s005_b10,RANDOM_CONTROLLED,5,10,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s005_b20,RANDOM_CONTROLLED,5,20,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s005_b50,RANDOM_CONTROLLED,5,50,1,1,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s005_b80,RANDOM_CONTROLLED,5,80,1,1,0.5142857142857142,0.5142857142857142,True,0.5142857142857142,0.5142857142857142,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s005_b100,RANDOM_CONTROLLED,5,100,1,1,0.5945945945945945,0.5945945945945946,True,0.5945945945945945,0.5945945945945945,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s006_b5,RANDOM_CONTROLLED,6,5,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s006_b10,RANDOM_CONTROLLED,6,10,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s006_b20,RANDOM_CONTROLLED,6,20,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s006_b50,RANDOM_CONTROLLED,6,50,1,1,0.375,0.375,True,0.375,0.375,True,False,True,True,True
