benchmark_id,run_id,method,method_variant,seed,horizon_budget,call_idx,unit_id,action_type,selection_reason,oracle_label_after_query,oracle_cost,cumulative_logical_calls,state_before_hash,state_after_hash
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,20,329,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,21,3183ea0a9b2b0af51c70b12b0d592db1cc87697196880e133abf977ef4e94631,b243caf807cd2d7e09d5189860ea5e4c14d52411786b0533cee3199ff169960c
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,21,165,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,22,b243caf807cd2d7e09d5189860ea5e4c14d52411786b0533cee3199ff169960c,d3be4d121c8b8c7bd548c4c419ed02a2ef0f577d5006cd2e13f00ecb0bdfdfd8
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,22,11,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,23,d3be4d121c8b8c7bd548c4c419ed02a2ef0f577d5006cd2e13f00ecb0bdfdfd8,3a497d1cfdcf9aa485ccfb3ca79d50ab9d4af73960a971ec7f42afc4ffe0ebc6
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,23,234,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,24,3a497d1cfdcf9aa485ccfb3ca79d50ab9d4af73960a971ec7f42afc4ffe0ebc6,c5e60e0bc1ed99eaf836b12d5ad8e2af002462f90f36888d4f22204974621765
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,24,280,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,25,c5e60e0bc1ed99eaf836b12d5ad8e2af002462f90f36888d4f22204974621765,59c77eedbcbbcf3d6f1b009ad018db8fb721bdbfbe89bfbef8a1af58216bf7c1
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,25,339,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,26,59c77eedbcbbcf3d6f1b009ad018db8fb721bdbfbe89bfbef8a1af58216bf7c1,02509453f98e1c11da188d00c619cb0e7cdaf8590f2f9b135d3a71b153997567
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,26,333,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,27,02509453f98e1c11da188d00c619cb0e7cdaf8590f2f9b135d3a71b153997567,d8246b2c001eaccf7e40de768c42f62a6e1cd9e9e12c8286ea389a1e8f8d135e
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,27,267,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,28,d8246b2c001eaccf7e40de768c42f62a6e1cd9e9e12c8286ea389a1e8f8d135e,3fb8cbf39a16a8325cc6139a22e19eb6104baaa41b3d0e93fc894e6042f68135
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,28,305,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,29,3fb8cbf39a16a8325cc6139a22e19eb6104baaa41b3d0e93fc894e6042f68135,8fb97c60e995280b6b6b5ecdc35a1fb5ceb8f053cef9256d20cc99ae19e07f4f
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,29,228,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,30,8fb97c60e995280b6b6b5ecdc35a1fb5ceb8f053cef9256d20cc99ae19e07f4f,b871a16c6d4f285c78176f804b7a9f37ce2e5c40c5fbff706825f73f440b8b70
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,30,17,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,31,b871a16c6d4f285c78176f804b7a9f37ce2e5c40c5fbff706825f73f440b8b70,a27632a8be5513f4c7e05c4958e5f7f425175d1022ad7bc9e2d8883a50d9730a
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,31,121,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,32,a27632a8be5513f4c7e05c4958e5f7f425175d1022ad7bc9e2d8883a50d9730a,3a52b499609d84593a25b4af7622a71b1e2bac74199b8e5298d8fd0ed3a422f6
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,32,2,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,33,3a52b499609d84593a25b4af7622a71b1e2bac74199b8e5298d8fd0ed3a422f6,b667dcfbfed8a695caf34461dfb4a5b98ca1e627dfc116b664d59925688b1423
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,33,297,DISCOVER_CORE,maximum frozen structural-risk reduction,positive,1,34,b667dcfbfed8a695caf34461dfb4a5b98ca1e627dfc116b664d59925688b1423,4d6aaaefa2d338d881aa9cdc50106fec7bc88c4cb569f1d7b8137fcc20d4cca9
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,34,240,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,35,4d6aaaefa2d338d881aa9cdc50106fec7bc88c4cb569f1d7b8137fcc20d4cca9,d5ce85a7951be112bb7862bc37c829179e865c96f3a08c040c7457683fb04a5e
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,35,271,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,36,d5ce85a7951be112bb7862bc37c829179e865c96f3a08c040c7457683fb04a5e,b712af1c4ee4a65a44a509d3cf93f70682fb48334c1e5066b7620cf2dd0975f6
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,36,292,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,37,b712af1c4ee4a65a44a509d3cf93f70682fb48334c1e5066b7620cf2dd0975f6,2e90c35d8f0c357a462722709eb8a36d5dc9459b5bcd21a52cbf84e7d5453e36
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,37,83,DISCOVER_CORE,maximum frozen structural-risk reduction,positive,1,38,2e90c35d8f0c357a462722709eb8a36d5dc9459b5bcd21a52cbf84e7d5453e36,c2d2ca0d9556561e6614b8fca94d3a9a7fa0e5caa0e4b2c5641eaca7ad7591e2
