video_id,query_id,proxy_family,budget,verified_positive_count,traces_in_stratum,primary_geometry,geometry_min,geometry_max,geometry_range,coverage_range,effective_independent_comparison_count,high_geometry_trace_hash,low_geometry_trace_hash
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,17,3,number_of_temporal_regions_touched,36.0,42.0,6.0,0.03921568627450989,1,18317e421daf8b97af48cb5ad76a16828fb719c210458b2c56f69ad377488c0b,a7ecf4c91012d6d6a837d32d326511b36f73a3da464323b3b1465c773ac72e14
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,16,3,number_of_temporal_regions_touched,70.0,80.0,10.0,0.06417112299465244,1,e09ee42886b766291fcc40dc4dafbb41ef8a6f99bfee09d05625096c57bb1263,ae22e04ca5fc3c9af640ad705ee6ae0c3e91ab08ac9c53d413b29a82b94c1953
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,23,2,number_of_temporal_regions_touched,50.0,52.0,2.0,0.035650623885918,1,a85c0fad1e2af1470cb50ad572e2de5f56b0d57f4effb6f8885d48e75154c101,0b05fb0220ab849def1f93cc14a9fd319c9e22d283aa332f308dbb719ed77585
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,16,3,number_of_temporal_regions_touched,84.0,89.0,5.0,0.021390374331550777,1,de9e48dd921757acea3d9d8c439b5f5b9fb244a6688cde9e8d5f425d8cd4b6e0,c672854b6a18b3d3b30ccec33cff128e74c9add3893f2fb2de101d7a885abae5
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,21,3,number_of_temporal_regions_touched,80.0,89.0,9.0,0.05525846702317294,1,4ec8bb50da31d60759d663efea0a88dd2ed0971df38eb5255283594385706c86,2d69e2177fe8cc8aaea0f07ddf9832593622d9ca436996d144ea145bb73d5c32
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,29,3,number_of_temporal_regions_touched,58.0,61.0,3.0,0.0,1,282dafc08c2fc1484fb25e8a06fe78b84eefcb05a919047ecfce5821194ade3d,2fc53cd812763579989bf263eedfff6a6260b744600179ff5df5064bccdf9f0e
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,2,3,number_of_temporal_regions_touched,3.0,5.0,2.0,0.3948126801152737,1,6a90e12d2c21617535567211a5c0709db2b802c73613bcd4e3e2e05587d302b5,ae292ba12a5edd9fabfdd3678e98d23d2c1557c3b24c150792fcbb6074df4f25
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,1,4,number_of_temporal_regions_touched,7.0,10.0,3.0,0.49567723342939474,1,4540e895f2c7b35866f8090d0cedaaf787512bf0c41b855e68669e151eaaa1d5,58f924279dbdb24db69486e567226e9dfe9bfd23b6a90bae7cb66105df0426c9
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,2,6,number_of_temporal_regions_touched,8.0,10.0,2.0,0.26801152737752165,1,3ddef7aa507b66901f319fffd127834361cf9a57a7ee4ac21ac54cbcab1d23b4,52b1ee858a015eee947afe32eb84293bfc10cfb4c4bae0f94580f33a384f8c19
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,4,2,number_of_temporal_regions_touched,6.0,7.0,1.0,0.36023054755043227,1,d858b4ec0a2d117ec7d318f2c35a99f5c299d0a69c8e1ba4ce202dc9ec1fc3da,689bbc2e7cf917f16312bc6acf5b36647399a73ca414c00c104515af08822ea5
