video_id,unit_id,unit_index,detection_count,track_count,mean_center_occupancy,mean_bbox_area,trigger_count,candidate_trigger,bbox_growth_signal,lateral_motion_signal,center_entry_signal,late_track_entry_signal,composite_visible_trigger
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0116,116,162,8,0.6728395061728395,0.01587233503326328,4,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0117,117,169,6,0.514792899408284,0.013784992886076146,4,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0118,118,116,5,0.20689655172413793,0.00737095862713123,4,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0119,119,76,4,0.5394736842105263,0.015588183265470554,3,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0120,120,95,6,0.2,0.03290984042605795,4,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0121,121,180,11,0.03888888888888889,0.05476513497141759,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0122,122,192,8,0.5052083333333334,0.004979408310213507,5,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0123,123,450,22,0.5177777777777778,0.025839571896598412,11,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0124,124,192,10,0.22916666666666666,0.05870631830510983,4,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0125,125,88,2,0.125,0.04739067760830116,1,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0126,126,66,2,0.12121212121212122,0.017069635496828654,2,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0127,127,110,8,0.35454545454545455,0.029276937661166885,2,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0128,128,90,8,0.17777777777777778,0.042471006453986486,1,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0129,129,70,5,0.05714285714285714,0.03934852694122976,1,True,1.0,0.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0130,130,75,2,0.25333333333333335,0.17195864832608102,0,False,0.0,0.0,1.0,0.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0131,131,168,7,0.7916666666666666,0.022874977317951063,5,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0132,132,226,13,0.5398230088495575,0.04585403521311338,8,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0133,133,92,5,0.1956521739130435,0.009766524537040579,2,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0134,134,232,13,0.47413793103448276,0.015287981797626022,12,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0135,135,223,17,0.16591928251121077,0.02362445249606721,10,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0136,136,274,9,0.040145985401459854,0.0339946835339755,6,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0137,137,200,16,0.23,0.03357824413472795,7,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0138,138,463,21,0.4794816414686825,0.009154325713411024,13,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0139,139,231,14,0.1645021645021645,0.010297963487135088,10,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0140,140,254,8,0.1889763779527559,0.006680655954232667,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0141,141,256,12,0.46875,0.02587639004345826,9,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0142,142,418,29,0.430622009569378,0.06091173298463571,14,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0143,143,292,13,0.3972602739726027,0.032327464297000785,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0144,144,142,4,0.09154929577464789,0.025944793763988745,2,True,1.0,1.0,0.0,0.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0145,145,174,6,0.15517241379310345,0.005930123781461738,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0146,146,273,12,0.6043956043956044,0.008584727446692256,10,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0147,147,481,27,0.36174636174636177,0.06054777164331497,12,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0148,148,336,17,0.38392857142857145,0.08869970907335688,11,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0149,149,285,7,0.256140350877193,0.05156569050943776,5,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0150,150,163,7,0.15337423312883436,0.01188399355490792,3,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0151,151,367,17,0.43869209809264303,0.007216568962767561,10,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0152,152,377,12,0.4323607427055703,0.0224680384224855,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0153,153,441,24,0.3764172335600907,0.05673673448002429,14,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0154,154,439,27,0.3211845102505695,0.03056999214056189,14,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0155,155,358,14,0.32122905027932963,0.013590702023452616,9,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0156,156,297,13,0.3872053872053872,0.008000307318694402,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0157,157,295,11,0.33220338983050846,0.006569385115341592,9,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0158,158,475,16,0.42105263157894735,0.011634037517268677,12,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0159,159,292,13,0.2773972602739726,0.015269269146803877,9,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0160,160,216,8,0.27314814814814814,0.01958836047109673,6,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0161,161,188,15,0.5053191489361702,0.014029811243334321,5,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0162,162,148,8,0.36486486486486486,0.04153097390152516,6,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0163,163,106,5,0.6698113207547169,0.009449540656677078,2,True,1.0,0.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0164,164,322,25,0.5,0.00735700740653742,11,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0165,165,288,15,0.4722222222222222,0.014732706250724488,7,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0166,166,114,7,0.6052631578947368,0.004334729807516859,5,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0167,167,281,21,0.4199288256227758,0.016609041390147194,9,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0168,168,285,18,0.6105263157894737,0.009687397742487338,9,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0169,169,149,8,0.5033557046979866,0.0261291557352628,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0170,170,173,11,0.5664739884393064,0.026287405453277908,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0171,171,351,17,0.46438746438746437,0.007642034159497301,8,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0172,172,250,16,0.352,0.01473507560907856,4,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0173,173,99,5,0.36363636363636365,0.01737301298775041,2,True,1.0,0.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0174,174,233,16,0.592274678111588,0.01734994004832584,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0175,175,337,15,0.5875370919881305,0.008616929506772734,5,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0176,176,233,19,0.6995708154506438,0.009846051087883511,9,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0177,177,141,8,0.6808510638297872,0.024166503957037375,5,True,1.0,1.0,0.0,1.0,True
