method,budget,trial,oracle_calls,seed_calls,boundary_calls,split_calls,recall,precision,num_pred_clips
expbin_proxy_q0.2_r1,50,18,50,1,29,20,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.2_r2,50,18,50,1,29,20,0.0,0.0,2
expbin_proxy_q0.2_r3,50,18,50,1,29,20,0.0,0.0,2
expbin_proxy_q0.3_r1,50,18,50,1,29,20,0.0,0.0,2
expbin_proxy_q0.3_r2,50,18,50,1,29,20,0.0,0.0,2
expbin_proxy_q0.3_r3,50,18,50,1,29,20,0.0,0.0,2
frame_stitch,50,19,50,0,0,0,0.0,0.0,13
expbin_dense_split,50,19,52,2,24,26,0.0,0.0,0
expbin_proxy_q0.1_r1,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.1_r2,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.1_r3,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.2_r1,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.2_r2,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.2_r3,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.3_r1,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.3_r2,50,19,52,6,46,0,0.0,0.0,3
expbin_proxy_q0.3_r3,50,19,52,6,46,0,0.0,0.0,3
frame_stitch,50,20,50,0,0,0,0.0,0.0,12
expbin_dense_split,50,20,52,3,34,15,0.0,0.0,0
expbin_proxy_q0.1_r1,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.1_r2,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.1_r3,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.2_r1,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.2_r2,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.2_r3,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.3_r1,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.3_r2,50,20,52,10,42,0,0.0,0.0,3
expbin_proxy_q0.3_r3,50,20,52,10,42,0,0.0,0.0,3
frame_stitch,50,21,50,0,0,0,0.0,0.0,16
expbin_dense_split,50,21,52,1,24,27,0.0,0.0,1
expbin_proxy_q0.1_r1,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,21,52,2,50,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,21,52,2,50,0,0.05555555555555555,0.5,2
frame_stitch,50,22,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,22,52,1,30,21,0.0,0.0,1
expbin_proxy_q0.1_r1,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.3_r2,50,22,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.3_r3,50,22,52,13,39,0,0.0,0.0,2
frame_stitch,50,23,50,0,0,0,0.0,0.0,11
expbin_dense_split,50,23,52,4,14,34,0.0,0.0,0
expbin_proxy_q0.1_r1,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.3_r2,50,23,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.3_r3,50,23,52,5,47,0,0.0,0.0,2
frame_stitch,50,24,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,24,52,2,40,10,0.0,0.0,0
expbin_proxy_q0.1_r1,50,24,50,2,40,8,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.1_r2,50,24,50,2,40,8,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.1_r3,50,24,50,2,40,8,0.0,0.0,2
expbin_proxy_q0.2_r1,50,24,50,2,40,8,0.0,0.0,1
expbin_proxy_q0.2_r2,50,24,50,2,40,8,0.0,0.0,1
expbin_proxy_q0.2_r3,50,24,50,2,40,8,0.0,0.0,1
expbin_proxy_q0.3_r1,50,24,50,2,40,8,0.0,0.0,2
expbin_proxy_q0.3_r2,50,24,50,2,40,8,0.0,0.0,2
expbin_proxy_q0.3_r3,50,24,50,2,40,8,0.0,0.0,2
frame_stitch,50,25,50,0,0,0,0.0,0.0,15
expbin_dense_split,50,25,52,12,28,12,0.0,0.0,0
expbin_proxy_q0.1_r1,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.3_r2,50,25,52,13,39,0,0.0,0.0,2
expbin_proxy_q0.3_r3,50,25,52,13,39,0,0.0,0.0,2
frame_stitch,50,26,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,26,52,4,30,18,0.0,0.0,0
expbin_proxy_q0.1_r1,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.3_r2,50,26,52,5,47,0,0.0,0.0,2
expbin_proxy_q0.3_r3,50,26,52,5,47,0,0.0,0.0,2
frame_stitch,50,27,50,0,0,0,0.0,0.0,14
expbin_dense_split,50,27,52,2,20,30,0.0,0.0,0
expbin_proxy_q0.1_r1,50,27,50,2,20,28,0.0,0.0,3
expbin_proxy_q0.1_r2,50,27,50,2,20,28,0.0,0.0,3
expbin_proxy_q0.1_r3,50,27,50,2,20,28,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.2_r1,50,27,50,2,20,28,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.2_r2,50,27,50,2,20,28,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.2_r3,50,27,50,2,20,28,0.0,0.0,2
expbin_proxy_q0.3_r1,50,27,50,2,20,28,0.0,0.0,2
expbin_proxy_q0.3_r2,50,27,50,2,20,28,0.0,0.0,2
expbin_proxy_q0.3_r3,50,27,50,2,20,28,0.0,0.0,2
frame_stitch,50,28,50,0,0,0,0.0,0.0,18
expbin_dense_split,50,28,52,6,30,16,0.0,0.0,0
expbin_proxy_q0.1_r1,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.3_r2,50,28,52,9,43,0,0.0,0.0,2
expbin_proxy_q0.3_r3,50,28,52,9,43,0,0.0,0.0,2
frame_stitch,50,29,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,29,52,3,36,13,0.0,0.0,0
expbin_proxy_q0.1_r1,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.3_r2,50,29,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.3_r3,50,29,52,10,42,0,0.0,0.0,2
frame_stitch,50,30,50,0,0,0,0.0,0.0,20
expbin_dense_split,50,30,52,1,32,19,0.0,0.0,0
expbin_proxy_q0.1_r1,50,30,50,1,32,17,0.0,0.0,2
expbin_proxy_q0.1_r2,50,30,50,1,32,17,0.0,0.0,2
expbin_proxy_q0.1_r3,50,30,50,1,32,17,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.2_r1,50,30,50,1,32,17,0.0,0.0,2
expbin_proxy_q0.2_r2,50,30,50,1,32,17,0.0,0.0,2
expbin_proxy_q0.2_r3,50,30,50,1,32,17,0.0,0.0,2
expbin_proxy_q0.3_r1,50,30,50,1,32,17,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,30,50,1,32,17,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,30,50,1,32,17,0.05555555555555555,0.5,2
frame_stitch,50,31,50,0,0,0,0.0,0.0,14
expbin_dense_split,50,31,52,5,32,15,0.0,0.0,0
expbin_proxy_q0.1_r1,50,31,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,31,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,31,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,31,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,31,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,31,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,31,50,5,32,13,0.0,0.0,2
expbin_proxy_q0.3_r2,50,31,50,5,32,13,0.0,0.0,2
expbin_proxy_q0.3_r3,50,31,50,5,32,13,0.0,0.0,2
frame_stitch,50,32,50,0,0,0,0.0,0.0,25
expbin_dense_split,50,32,52,2,20,30,0.05555555555555555,1.0,1
expbin_proxy_q0.1_r1,50,32,52,6,46,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,32,52,6,46,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,32,52,6,46,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,32,52,6,46,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,32,52,6,46,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,32,52,6,46,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,32,52,6,46,0,0.0,0.0,2
