dataset,method,method_variant,seed,budget,exact_oracle_calls,selected_positive_units,selected_distinct_reference_events,positive_duplicate_burden,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute,actual_arc_refinement_calls
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,17,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,18,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,18,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,18,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,19,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,19,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,19,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,20,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,20,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,20,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,21,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,21,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,21,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,2
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,22,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,22,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,22,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,3
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,23,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
