dataset,K,tau,proxy_threshold,budget_ratio,seed,method,reported_confidence,actual_clip_recall,actual_clip_precision,mIoU,oracle_ratio,violation_0.8,violation_0.9,num_true_clips,num_candidate_clips
uadetrac,20,20,p95,0.1,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p95,0.1,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.1,1,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.17420181360175954,0.09740197717178471,True,True,35,56
uadetrac,20,20,p95,0.1,1,arc_style_surrogate,0.9731015553522415,0.17142857142857143,0.0967741935483871,0.1848279575335342,0.08524762405081426,True,True,35,62
uadetrac,20,20,p95,0.1,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p95,0.1,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.1,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.09773628157982711,True,True,35,51
uadetrac,20,20,p95,0.1,2,arc_style_surrogate,0.9728390530372546,0.11428571428571428,0.07407407407407407,0.18064722004757075,0.08505659296050432,True,True,35,54
uadetrac,20,20,p95,0.2,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p95,0.2,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.2,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.1754027720175019,0.18996847987009885,True,True,35,55
uadetrac,20,20,p95,0.2,0,arc_style_surrogate,0.9747051786019484,0.3142857142857143,0.3333333333333333,0.37098709569996957,0.10986675581450882,True,True,35,33
uadetrac,20,20,p95,0.2,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p95,0.2,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.2,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.18352681282940786,0.1897058121209227,True,True,35,55
uadetrac,20,20,p95,0.2,1,arc_style_surrogate,0.9747051786019484,0.3142857142857143,0.3333333333333333,0.3712033586757481,0.10986675581450882,True,True,35,33
uadetrac,20,20,p95,0.2,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p95,0.2,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.2,2,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.1751292089327158,0.1902072687329863,True,True,35,56
uadetrac,20,20,p95,0.2,2,arc_style_surrogate,0.9747051786019484,0.3142857142857143,0.3333333333333333,0.3716435113083664,0.10986675581450882,True,True,35,33
uadetrac,20,20,p99,0.05,0,full_oracle,,1.0,1.0,1.0,1.0,False,False,35,35
uadetrac,20,20,p99,0.05,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p99,0.05,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.05,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.17299311249017416,0.049333779072544055,True,True,35,55
uadetrac,20,20,p99,0.05,0,arc_style_surrogate,1.0,0.0,0.0,0.04027944149312131,0.02971727398634128,True,True,35,21
uadetrac,20,20,p99,0.05,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p99,0.05,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.05,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.04950093127656526,True,True,35,55
uadetrac,20,20,p99,0.05,1,arc_style_surrogate,1.0,0.0,0.0,0.040300205612722635,0.02971727398634128,True,True,35,21
uadetrac,20,20,p99,0.05,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p99,0.05,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.05,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.049345718515688426,True,True,35,51
uadetrac,20,20,p99,0.05,2,arc_style_surrogate,1.0,0.0,0.0,0.04027944149312131,0.02971727398634128,True,True,35,21
uadetrac,20,20,p99,0.1,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p99,0.1,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.1,0,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.1781863603876172,0.09719900663833039,True,True,35,55
uadetrac,20,20,p99,0.1,0,arc_style_surrogate,1.0,0.0,0.0,0.04027944149312131,0.03971058789818043,True,True,35,21
uadetrac,20,20,p99,0.1,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p99,0.1,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.1,1,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.17420181360175954,0.09740197717178471,True,True,35,56
uadetrac,20,20,p99,0.1,1,arc_style_surrogate,1.0,0.0,0.0,0.040300205612722635,0.03971058789818043,True,True,35,21
uadetrac,20,20,p99,0.1,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p99,0.1,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.1,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.09773628157982711,True,True,35,51
uadetrac,20,20,p99,0.1,2,arc_style_surrogate,1.0,0.0,0.0,0.04027944149312131,0.03971058789818043,True,True,35,21
