step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
65,VERIFY,73,fixed_cycle_proxy_verify,1.0,36.3,43.7,33,330,33,5,5,1.0,0.19230769230769232,0.32258064516129037,6696c6b009b64b2b5400d6d37cfdbaab3e9ec4999f66fd823ff039e212deaaa8,True
66,SCAN,25,fixed_cycle_scan,0.1,36.4,43.6,34,340,33,5,5,1.0,0.19230769230769232,0.32258064516129037,c4d5fc86d6182d767fd3594f877b855839971f9374ed625661b100c11865056b,True
67,VERIFY,257,fixed_cycle_proxy_verify,1.0,37.4,42.6,34,340,34,5,5,1.0,0.19230769230769232,0.32258064516129037,3777c00735604dd0b2dd4ea786f057d067a687490009637398b4e607f8dac36a,True
68,SCAN,34,fixed_cycle_scan,0.1,37.5,42.5,35,347,34,5,5,1.0,0.19230769230769232,0.32258064516129037,ae1e059c8d199d2b1e6c89d9f9712e20283e31a887845f88b5b77dbc188bef71,True
69,VERIFY,251,fixed_cycle_proxy_verify,1.0,38.5,41.5,35,347,35,5,5,1.0,0.19230769230769232,0.32258064516129037,b91833df970d8ade5e5455d18b552c49c388c5596f2d8bc89d227bfc24ea72a5,True
70,VERIFY,256,fixed_cycle_proxy_verify,1.0,39.5,40.5,35,347,36,5,5,1.0,0.19230769230769232,0.32258064516129037,f1b717d405265b6dd4d365001c106b18e55a48d48bbc72477a3b8cc2c691196d,True
71,VERIFY,250,fixed_cycle_proxy_verify,1.0,40.5,39.5,35,347,37,5,5,1.0,0.19230769230769232,0.32258064516129037,be0ea415c4eb3e29a9f1dc5e8fea24dfac5a7a23fe2280e83ca779f103d8433b,True
72,VERIFY,335,fixed_cycle_proxy_verify,1.0,41.5,38.5,35,347,38,5,5,1.0,0.19230769230769232,0.32258064516129037,91e6931d60f18e44fe1d0aa815598b7340135c24d46cf7493eb65c2db8d3556c,True
73,VERIFY,182,fixed_cycle_proxy_verify,1.0,42.5,37.5,35,347,39,5,5,1.0,0.19230769230769232,0.32258064516129037,ac5b1c4b21d3706082b93331102d91c6bb82683e75e1e6b22f3d0a73f60091a0,True
74,VERIFY,71,fixed_cycle_proxy_verify,1.0,43.5,36.5,35,347,40,5,5,1.0,0.19230769230769232,0.32258064516129037,65dd1a01de737818ee5f5f45040dfbbd9a4de385802adf5c89c005226c3b707d,True
75,VERIFY,168,fixed_cycle_proxy_verify,1.0,44.5,35.5,35,347,41,5,5,1.0,0.19230769230769232,0.32258064516129037,63429084727c9c2d7c6380b5617bd6d199500daabb3627508eeb46af81b6928f,True
76,VERIFY,319,fixed_cycle_proxy_verify,1.0,45.5,34.5,35,347,42,5,5,1.0,0.19230769230769232,0.32258064516129037,329cdc4145a72c2fcad324c9657a9ff08f12d6e25b5d0305076db4b0ab5dbad6,True
77,VERIFY,165,fixed_cycle_proxy_verify,1.0,46.5,33.5,35,347,43,5,5,1.0,0.19230769230769232,0.32258064516129037,18ea1ed852b70e159be8b802035a8c80dfb84ecd7a3f1509be08e4360118a352,True
78,VERIFY,220,fixed_cycle_proxy_verify,1.0,47.5,32.5,35,347,44,5,5,1.0,0.19230769230769232,0.32258064516129037,8f737b9c94027a4e6674176ad77eceb50dea6d1b19128ad75c6a89ac9e28757f,True
79,VERIFY,339,fixed_cycle_proxy_verify,1.0,48.5,31.5,35,347,45,5,5,1.0,0.19230769230769232,0.32258064516129037,a36a0973e979239c63f7d8d22451ad67481e1b626dbcf79f71416524640c53d8,True
80,VERIFY,333,fixed_cycle_proxy_verify,1.0,49.5,30.5,35,347,46,5,5,1.0,0.19230769230769232,0.32258064516129037,42064bdc2a345baa97ea8ab52fd16d6706ee53b538e5206c715565c4b3d3764d,True
81,VERIFY,238,fixed_cycle_proxy_verify,1.0,50.5,29.5,35,347,47,5,5,1.0,0.19230769230769232,0.32258064516129037,0a28f087024c15925dc296ae3fdd447e3dd4cfbdfad30518a44e7e53ffee9f79,True
82,VERIFY,252,fixed_cycle_proxy_verify,1.0,51.5,28.5,35,347,48,5,5,1.0,0.19230769230769232,0.32258064516129037,9d8d181ba027f0143ad98a7839e573a0ede209b7963e8005145e8e3724a9f9e6,True
83,VERIFY,248,fixed_cycle_proxy_verify,1.0,52.5,27.5,35,347,49,5,5,1.0,0.19230769230769232,0.32258064516129037,91201120ca2668b98e28f29580b88e1cc3f32cb403e3d42ca4b3f6aed0a43c7a,True
84,VERIFY,228,fixed_cycle_proxy_verify,1.0,53.5,26.5,35,347,50,5,5,1.0,0.19230769230769232,0.32258064516129037,36999f05e54136824c42858370fc9cb6df3ff479db39f250348c6c375eed867c,True
85,VERIFY,245,fixed_cycle_proxy_verify,1.0,54.5,25.5,35,347,51,5,5,1.0,0.19230769230769232,0.32258064516129037,3c08ef16cbdaf9924503cec02dc01fc711c58be7e3afa2d8f39b305be762e50f,True
86,VERIFY,164,fixed_cycle_proxy_verify,1.0,55.5,24.5,35,347,52,6,6,1.0,0.23076923076923078,0.375,83783c290af14fb0f31aa06923202f246d3211b8ebe82285a31ab67dd794e86c,True
